0400017B,27,0,12,11,4,0,0
0400750Y,10,0,2,5,3,0,0
0400934Y,34,0,9,17,6,2,0
0410002E,22,0,11,10,1,0,0
0410899E,36,0,5,13,15,3,0
0410899E,35,0,19,11,5,0,0
0410978R,44,0,14,23,6,1,0
0410978R,37,0,7,17,13,0,0
0420013L,27,0,16,5,5,1,0
0420018S,7,0,4,3,0,0,0
0420040R,8,0,4,3,1,0,0
0420040R,15,0,3,7,5,0,0
0420042T,12,0,5,6,1,0,0
0420043U,19,0,7,8,4,0,0
0420043U,4,0,3,1,0,0,0
0420043U,13,0,3,6,1,3,0
0420957M,139,0,19,85,34,1,0
0420979L,8,0,4,3,0,1,0
0420979L,24,0,12,10,1,1,0
0421095M,136,0,70,44,22,0,0
0450051L,14,0,3,6,5,0,0
0421095M,15,0,10,5,0,0,0
0421095M,30,0,20,9,1,0,0
0421095M,26,0,12,11,3,0,0
0421095M,251,0,148,76,25,2,0
0422048Y,96,0,38,51,7,0,0
0430020N,2,0,1,1,0,0,0
0430098Y,12,0,8,2,2,0,0
0430098Y,21,0,12,5,4,0,0
0430947W,19,0,18,1,0,0,0
0430951A,39,0,10,16,11,2,0
0431000D,3,0,3,0,0,0,0
0440021J,137,0,0,1,27,100,9
0440029T,21,0,5,12,4,0,0
0442765S,24,0,13,9,2,0,0
0442765S,20,0,9,5,5,1,0
0440033X,15,0,3,4,4,4,0
0440062D,11,0,9,1,1,0,0
0440063E,12,0,4,4,4,0,0
0440069L,4,0,1,3,0,0,0
0440069L,13,0,7,2,4,0,0
0440069L,15,0,10,3,1,1,0
0440139M,73,0,27,35,10,1,0
0440139M,95,0,6,57,30,2,0
0440154D,21,0,1,4,9,7,0
0440246D,3,0,1,2,0,0,0
0442774B,35,0,19,12,4,0,0
0442725Y,30,0,17,13,0,0,0
0442774B,9,0,4,3,2,0,0
0442774B,2,0,2,0,0,0,0
0442774B,17,0,11,5,1,0,0
0640057P,30,0,5,11,12,2,0
0442774B,8,0,5,2,1,0,0
0440254M,10,0,5,4,1,0,0
0440254M,30,0,13,11,5,1,0
0440254M,6,0,3,3,0,0,0
0440254M,16,0,9,4,3,0,0
0440254M,28,0,13,13,2,0,0
0440256P,20,0,5,11,3,1,0
0440355X,22,0,5,9,8,0,0
0440980B,15,0,5,7,3,0,0
0440982D,20,0,5,9,5,1,0
0593109J,21,0,1,7,9,3,1
0440982D,95,0,38,46,11,0,0
0442953W,236,0,76,98,49,12,1
0442953W,125,0,59,39,23,3,1
0442953W,151,0,58,53,29,11,0
0442953W,226,0,136,70,17,3,0
0441946B,14,0,4,6,4,0,0
0441946B,18,0,7,8,2,1,0
0441993C,37,0,18,15,4,0,0
0442094M,22,0,12,8,2,0,0
0442094M,8,0,2,3,3,0,0
0450042B,5,0,4,0,0,1,0
0450051L,46,0,23,17,5,1,0
0450092F,26,0,6,14,5,1,0
0450758E,7,0,7,0,0,0,0
0450758E,8,0,3,3,2,0,0
0450758E,18,0,7,5,4,2,0
0450758E,20,0,6,6,7,1,0
0450782F,19,0,4,11,4,0,0
0450855K,285,0,120,101,55,9,0
0451462V,27,0,8,11,6,2,0
0460010L,8,0,3,4,1,0,0
0460490H,29,0,7,13,7,2,0
0460493L,5,0,5,0,0,0,0
0460697H,8,0,3,4,1,0,0
0470001W,25,0,9,12,3,1,0
0470003Y,6,0,5,1,0,0,0
0470003Y,23,0,5,15,3,0,0
0470003Y,21,0,13,5,2,1,0
0470019R,5,0,3,2,0,0,0
0470029B,1,0,0,1,0,0,0
0480007X,17,0,8,4,5,0,0
0480009Z,9,0,6,3,0,0,0
0480025S,13,0,6,3,2,2,0
0480635E,8,0,6,2,0,0,0
0480680D,10,0,4,3,3,0,0
0490003M,20,0,10,8,2,0,0
0490003M,58,0,30,24,4,0,0
0490055U,2,0,0,2,0,0,0
0490769V,75,0,14,39,20,2,0
0490769V,25,0,1,5,14,5,0
0491966W,36,0,2,9,14,11,0
0490769V,36,0,6,15,15,0,0
0492433D,1,0,1,0,0,0,0
0492433D,26,0,8,11,3,3,1
0492433D,53,0,14,19,17,3,0
0490828J,0,0,0,0,0,0,0
0490838V,6,0,4,1,1,0,0
0490886X,8,0,2,4,2,0,0
0492406Z,31,0,11,13,7,0,0
0490890B,38,0,13,17,7,1,0
0491966W,27,0,1,5,17,4,0
0492015Z,25,0,16,5,4,0,0
0500017X,12,0,7,4,1,0,0
0500049G,12,0,5,4,2,1,0
0500060U,15,0,6,4,4,1,0
0500087Y,7,0,2,5,0,0,0
0500087Y,4,0,0,1,3,0,0
0500127S,8,0,5,3,0,0,0
0501213X,3,0,1,2,0,0,0
0501213X,8,0,2,4,2,0,0
0501219D,11,0,7,3,1,0,0
0501234V,11,0,9,2,0,0,0
0501299R,18,0,7,9,2,0,0
0501677B,9,0,7,2,0,0,0
0501735P,13,0,7,4,1,1,0
0501839C,14,0,8,5,1,0,0
0510032H,64,0,2,14,22,24,2
0510034K,46,0,1,16,19,9,1
0510035L,9,0,2,3,3,0,1
0510035L,20,0,3,7,8,2,0
0510035L,35,0,18,12,4,1,0
0520027X,8,0,4,4,0,0,0
0510038P,14,0,8,4,2,0,0
0510062R,3,0,2,1,0,0,0
0511145T,11,0,8,3,0,0,0
0511196Y,15,0,9,3,3,0,0
0511296G,79,0,30,32,12,5,0
0511296G,154,0,56,54,32,11,1
0511565Z,8,0,2,3,2,1,0
0511884W,3,0,1,1,1,0,0
0511884W,11,0,4,5,1,1,0
0511901P,38,0,25,9,4,0,0
0520027X,22,0,7,13,2,0,0
0520679F,6,0,3,3,0,0,0
0520685M,5,0,3,2,0,0,0
0520844K,26,0,15,5,4,2,0
